timestamp,open,high,low,close,volume
2024-01-01 00:00:00+00:00,1.08509,1.08555,1.08472,1.08518,103
2024-01-01 00:01:00+00:00,1.08506,1.0854,1.08444,1.08477,103
2024-01-01 00:02:00+00:00,1.08518,1.0856,1.08481,1.08524,99
2024-01-01 00:03:00+00:00,1.08546,1.0857,1.08531,1.08556,99
2024-01-01 00:04:00+00:00,1.08541,1.08555,1.0851,1.08523,108
2024-01-01 00:05:00+00:00,1.08537,1.08556,1.08515,1.08534,108
2024-01-01 00:06:00+00:00,1.08566,1.08614,1.08509,1.08558,91
2024-01-01 00:07:00+00:00,1.08579,1.08606,1.08547,1.08573,93
2024-01-01 00:08:00+00:00,1.08571,1.08601,1.08539,1.08569,118
2024-01-01 00:09:00+00:00,1.08581,1.0861,1.08553,1.08582,98
2024-01-01 00:10:00+00:00,1.08572,1.08614,1.08526,1.08568,85
2024-01-01 00:11:00+00:00,1.08564,1.08586,1.08527,1.08549,109
2024-01-01 00:12:00+00:00,1.08568,1.08582,1.08544,1.08558,105
2024-01-01 00:13:00+00:00,1.08534,1.08561,1.08505,1.08532,107
2024-01-01 00:14:00+00:00,1.08503,1.08545,1.0846,1.08502,83
2024-01-01 00:15:00+00:00,1.08493,1.08543,1.08437,1.08488,107
2024-01-01 00:16:00+00:00,1.08474,1.08487,1.08449,1.08462,100
2024-01-01 00:17:00+00:00,1.0848,1.08526,1.08426,1.08472,90
2024-01-01 00:18:00+00:00,1.08464,1.08478,1.0845,1.08464,89
2024-01-01 00:19:00+00:00,1.08438,1.08463,1.08397,1.08422,97
2024-01-01 00:20:00+00:00,1.08465,1.08477,1.08451,1.08463,111
2024-01-01 00:21:00+00:00,1.08461,1.08511,1.08392,1.08442,107
2024-01-01 00:22:00+00:00,1.08462,1.08503,1.0841,1.08452,101
2024-01-01 00:23:00+00:00,1.08436,1.08472,1.08409,1.08445,96
2024-01-01 00:24:00+00:00,1.08426,1.08454,1.0839,1.08417,81
2024-01-01 00:25:00+00:00,1.08428,1.08481,1.0839,1.08443,96
2024-01-01 00:26:00+00:00,1.08408,1.08422,1.08392,1.08407,106
2024-01-01 00:27:00+00:00,1.08414,1.08445,1.08397,1.08428,117
2024-01-01 00:28:00+00:00,1.08404,1.08451,1.08335,1.08383,103
2024-01-01 00:29:00+00:00,1.08398,1.08431,1.08379,1.08412,93
2024-01-01 00:30:00+00:00,1.08388,1.0843,1.08344,1.08386,97
2024-01-01 00:31:00+00:00,1.08421,1.08442,1.08399,1.08419,109
2024-01-01 00:32:00+00:00,1.08421,1.08435,1.08398,1.08413,106
2024-01-01 00:33:00+00:00,1.08402,1.08451,1.0835,1.084,103
2024-01-01 00:34:00+00:00,1.08416,1.08469,1.08366,1.08419,87
2024-01-01 00:35:00+00:00,1.08394,1.08432,1.08348,1.08386,106
2024-01-01 00:36:00+00:00,1.08398,1.08429,1.08359,1.0839,102
2024-01-01 00:37:00+00:00,1.08363,1.08401,1.08328,1.08366,96
2024-01-01 00:38:00+00:00,1.08339,1.08368,1.0831,1.08339,112
2024-01-01 00:39:00+00:00,1.08343,1.08386,1.08277,1.08321,99
2024-01-01 00:40:00+00:00,1.08356,1.08405,1.08312,1.08361,90
2024-01-01 00:41:00+00:00,1.08359,1.08359,1.08359,1.08359,0
2024-01-01 00:42:00+00:00,1.08357,1.0839,1.08311,1.08344,86
2024-01-01 00:43:00+00:00,1.08351,1.08397,1.08296,1.08342,107
2024-01-01 00:44:00+00:00,1.08325,1.08342,1.08297,1.08314,92
2024-01-01 00:45:00+00:00,1.08312,1.08337,1.083,1.08325,87
2024-01-01 00:46:00+00:00,1.08304,1.08343,1.08258,1.08297,89
2024-01-01 00:47:00+00:00,1.08323,1.08342,1.08307,1.08326,80
